Product Name,Price(in Rs),Ratings,Picture
"Vivo V15 (Glamour Red, 6GB RAM, 64GB Storage)",,4.3 out of 5 stars,
Apple iPhone Xs Max (64GB) - Gold,"69,900",4.4 out of 5 stars,
Apple iPhone Xs Max (64GB) - Silver,"69,900",4.4 out of 5 stars,
Apple iPhone 11 (128GB) - Purple,"69,900",4.6 out of 5 stars,
Apple iPhone Xs Max (64GB) - Space Grey,"69,900",4.4 out of 5 stars,
Apple iPhone 11 (128GB) - (Product) RED,"69,900",4.6 out of 5 stars,
Apple iPhone 11 (128GB) - Yellow,"69,900",4.6 out of 5 stars,
Apple iPhone 11 (64GB) - White,"64,900",4.6 out of 5 stars,
Apple iPhone 11 (64GB) - Purple,"64,900",4.6 out of 5 stars,
Apple iPhone 11 (64GB) - Green,"64,900",4.6 out of 5 stars,
Apple iPhone 11 (64GB) - (Product) RED,"64,900",4.6 out of 5 stars,
Apple iPhone 11 (64GB) - Black,"64,900",4.6 out of 5 stars,
Apple iPhone 8 Plus (256GB) - Space Grey,"64,900",4.5 out of 5 stars,
Apple iPhone XR (256GB) (Product) RED,"64,900",4.5 out of 5 stars,
Apple iPhone XR (256GB) - Blue,"64,900",4.5 out of 5 stars,
Apple iPhone XR (256GB) - Yellow,"64,900",4.5 out of 5 stars,
Apple iPhone XR (128GB) - White,"53,900",4.5 out of 5 stars,
"OPPO Reno3 Pro (Midnight Black, 8GB RAM, 128GB Storage) + Free OPPO Bluetooth Speaker","29,990",3.9 out of 5 stars,
"TWSS Truly Wireless Bluedio Hi TWS Wireless Headphones with Face Recognition Feature, True Wireless Earbuds Bluetooth V5.0 Wireless Earphones Sports Running Headset with Charging Case Built-in Mic (Hurricane-HI Black)","1,499",,
Apple iPhone XR (128GB) - White,"53,900",4.5 out of 5 stars,
"OPPO Reno3 Pro (Sky White, 8GB RAM, 128GB Storage OPPO Bluetooth Speaker","29,990",3.9 out of 5 stars,
Apple iPhone XR (128GB) (Product) RED,"53,900",4.5 out of 5 stars,
Apple iPhone XR (128GB) - Coral,"53,900",4.5 out of 5 stars,
Apple iPhone XR (128GB) - Blue,"53,900",4.5 out of 5 stars,
Apple iPhone XR (128GB) - Yellow,"53,900",4.5 out of 5 stars,
Apple iPhone XR (128GB) - Black,"50,900",4.5 out of 5 stars,
Apple iPhone XR (64GB) - Black,"48,900",4.5 out of 5 stars,
Apple iPhone XR (64GB) - White,"48,900",4.5 out of 5 stars,
Apple iPhone XR (64GB) - Blue,"48,900",4.5 out of 5 stars,
Apple iPhone XR (64GB) - Coral,"48,900",4.5 out of 5 stars,
Apple iPhone XR (64GB) - Yellow,"48,900",4.5 out of 5 stars,
Apple iPhone XR (64GB) (Product) RED,"48,899",4.5 out of 5 stars,
Apple iPhone 8 Plus (64GB) - Space Grey,"47,000",4.5 out of 5 stars,
Apple iPhone 8 Plus (256GB) - Gold,"44,999",4.5 out of 5 stars,
"Apple iPhone 8 (Space Grey, 256GB)","40,999",4.1 out of 5 stars,
"Apple iPhone 8 (Gold, 256GB)","40,999",4.1 out of 5 stars,
"Apple iPhone 8 (Silver, 256GB)","40,999",4.1 out of 5 stars,
"Anker PowerCore 20000 mAH High-Speed Charging with PowerIQ Power Bank for iPhone, Samsung Galaxy and More (Black)","3,179",1.0 out of 5 stars,
"Samsung Galaxy Fold 5G (Silver, 12GB RAM, 512GB Storage) Samsung Galaxy Fold 5G (Silver, 12GB RAM, 512GB Storage) ₹1,54,990₹1,54,990
            
                ₹1,79,990₹1,79,990","1,54,990",4.5 out of 5 stars,
"Samsung Galaxy Fold 5G (Black, 12GB RAM, 512GB Storage) Samsung Galaxy Fold 5G (Black, 12GB RAM, 512GB Storage) ₹1,52,601₹1,52,601
            
                ₹1,79,990₹1,79,990","1,52,601",3.5 out of 5 stars,
"Galaxy Z Flip, 256GB (Purple) Galaxy Z Flip, 256GB (Purple) ₹1,45,988₹1,45,988
            
                ₹1,99,990₹1,99,990","1,45,988",3.0 out of 5 stars,
"Galaxy Z Flip, 256GB (Mirror Black) Galaxy Z Flip, 256GB (Mirror Black) ₹1,45,988₹1,45,988
            
                ₹1,99,990₹1,99,990","1,45,988",2.5 out of 5 stars,
"Samsung Galaxy Z Flip (Purple, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers Samsung Galaxy Z Flip (Purple, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers ₹1,09,999₹1,09,999
            
                ₹1,20,000₹1,20,000","1,09,999",,
"Samsung Galaxy Z Flip (Black, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers Samsung Galaxy Z Flip (Black, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers ₹1,09,999₹1,09,999
            
                ₹1,20,000₹1,20,000","1,09,999",,
"Samsung Galaxy Note 9 (Midnight Black, 512 GB) (8 GB RAM) Samsung Galaxy Note 9 (Midnight Black, 512 GB) (8 GB RAM)",,4.6 out of 5 stars,
"Samsung Galaxy Note 8 (Orchid Grey, 6GB RAM, 64GB Storage) Samsung Galaxy Note 8 (Orchid Grey, 6GB RAM, 64GB Storage) ₹74,000₹74,000","74,000",4.4 out of 5 stars,
"Samsung Galaxy S20 + (Cosmic Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers Samsung Galaxy S20 + (Cosmic Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers ₹73,999₹73,999
            
                ₹83,000₹83,000","73,999",4.6 out of 5 stars,
"Samsung Galaxy S20 + (Cloud Blue, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers Samsung Galaxy S20 + (Cloud Blue, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers ₹73,999₹73,999
            
                ₹83,000₹83,000","73,999",4.6 out of 5 stars,
"Samsung Galaxy S20 + (Cosmic Gray, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers Samsung Galaxy S20 + (Cosmic Gray, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers ₹73,999₹73,999
            
                ₹83,000₹83,000","73,999",4.6 out of 5 stars,
"Samsung Galaxy Note 10 (Aura Black, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers Samsung Galaxy Note 10 (Aura Black, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers ₹69,999₹69,999
            
                ₹75,000₹75,000","69,999",4.4 out of 5 stars,
"Samsung Galaxy Note 10 (Aura Red, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers Samsung Galaxy Note 10 (Aura Red, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers ₹69,999₹69,999
            
                ₹75,000₹75,000","69,999",4.4 out of 5 stars,
"Samsung Galaxy Note 10 (Aura Glow, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers Samsung Galaxy Note 10 (Aura Glow, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers ₹69,999₹69,999
            
                ₹75,000₹75,000","69,999",4.4 out of 5 stars,
"Samsung Galaxy S20 (Cosmic Gray, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers Samsung Galaxy S20 (Cosmic Gray, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers ₹66,999₹66,999
            
                ₹74,000₹74,000","66,999",4.0 out of 5 stars,
"Samsung Galaxy S20 (Cloud Blue, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers Samsung Galaxy S20 (Cloud Blue, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers ₹66,999₹66,999
            
                ₹74,000₹74,000","66,999",4.0 out of 5 stars,
"Samsung Galaxy S20 (Cloud Pink, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers Samsung Galaxy S20 (Cloud Pink, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers ₹66,999₹66,999
            
                ₹74,000₹74,000","66,999",4.0 out of 5 stars,
"Samsung Galaxy S9 (Lilac Purple) 128 GB Samsung Galaxy S9 (Lilac Purple) 128 GB ₹66,000₹66,000","66,000",4.1 out of 5 stars,
"Samsung Galaxy Note 9 (Metallic Copper, 6GB RAM, 128GB Storage) Samsung Galaxy Note 9 (Metallic Copper, 6GB RAM, 128GB Storage) ₹65,000₹65,000
            
                ₹73,600₹73,600","65,000",4.5 out of 5 stars,
"Samsung Galaxy Note 9 (Ocean Blue, 8GB RAM, 512GB Storage) Samsung Galaxy Note 9 (Ocean Blue, 8GB RAM, 512GB Storage) ₹64,000₹64,000
            
                ₹93,000₹93,000","64,000",4.5 out of 5 stars,
"Samsung Galaxy S9 Plus (Polaris Blue, 6GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers Samsung Galaxy S9 Plus (Polaris Blue, 6GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers ₹60,842₹60,842
            
                ₹70,000₹70,000","60,842",3.9 out of 5 stars,
"Samsung Galaxy S9 (4GB RAM, 256GB Storage) Midnight Black Samsung Galaxy S9 (4GB RAM, 256GB Storage) Midnight Black",,4.7 out of 5 stars,
"(Renewed) Samsung Galaxy S10 Plus (White, 8GB RAM, 512GB Storage) (Renewed) Samsung Galaxy S10 Plus (White, 8GB RAM, 512GB Storage) ₹57,999₹57,999
            
                ₹99,000₹99,000","57,999",3.6 out of 5 stars,
"(Renewed) Samsung Galaxy Note 10 (Aura Black, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers (Renewed) Samsung Galaxy Note 10 (Aura Black, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers ₹57,950₹57,950
            
                ₹75,000₹75,000","57,950",4.4 out of 5 stars,
"OPPO F15 (Lightening Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers OPPO F15 (Lightening Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers ₹19,990₹19,990
            
                ₹22,990₹22,990","19,990",4.3 out of 5 stars,
"OPPO Reno3 Pro (Sky White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers OPPO Reno3 Pro (Sky White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers ₹29,990₹29,990
            
                ₹32,990₹32,990","29,990",4.0 out of 5 stars,
"Vivo V15 (Glamour Red, 6GB RAM, 64GB Storage)",,4.3 out of 5 stars,
Casotec Leather Finish Soft TPU Case Cover for Samsung Galaxy M31 - Black,249,3.1 out of 5 stars,
"(Renewed) Samsung Galaxy S10 Plus (Blue, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","56,429",3.6 out of 5 stars,
Samsung Galaxy S4 I9500 - Black Color,,3.9 out of 5 stars,
(Renewed) Samsung Galaxy S10 Plus (Ceramic Black),"55,499",2.9 out of 5 stars,
"(Renewed) Samsung Galaxy Note 10 (Aura Glow, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","54,999",4.4 out of 5 stars,
"(Renewed) Samsung Galaxy Note 9 (Ocean Blue, 512GB Memory) with Offer","50,999",3.4 out of 5 stars,
"Samsung Galaxy Note 8 (Maple Gold, 6GB RAM, 64GB Storage)","49,999",4.4 out of 5 stars,
Samsung Galaxy S8+ (Midnight Black) 128 GB with Offer,"49,999",2.4 out of 5 stars,
"Samsung Galaxy S10e 128GB+6GB RAM SM-G970 Dual Sim 5.8"" LTE (Canary Yellow)","48,999",4.5 out of 5 stars,
"(Renewed) Samsung Galaxy S10 (White, 8GB RAM, 512GB Storage) with No Cost EMI/Additional Exchange Offers","45,499",3.3 out of 5 stars,
"Samsung Galaxy S7 Edge SM-G935FZDUINS (Gold Platinum, 32GB)","45,000",4.0 out of 5 stars,
"(Renewed) Samsung Galaxy S10 (Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","44,999",3.3 out of 5 stars,
"(Renewed) Samsung Galaxy Note 9 (Midnight Black, 128GB Memory) with Offer","43,402",3.4 out of 5 stars,
"OPPO Reno3 Pro (Midnight Black, 8GB RAM, 128GB Storage) + Free OPPO Bluetooth Speaker","29,990",4.0 out of 5 stars,
Ambrane PP-150 15000 mAh Lithium Polymer Power Bank (Black),999,3.9 out of 5 stars,
"Samsung Galaxy Note10 Lite (Aura Glow, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","40,999",4.1 out of 5 stars,
"Samsung Galaxy Note10 Lite (Aura Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","40,999",4.1 out of 5 stars,
"Samsung Galaxy Note10 Lite (Aura Red, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","40,999",4.1 out of 5 stars,
"Samsung Galaxy A80 (Phantom Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","39,990",3.2 out of 5 stars,
(Renewed) Samsung Galaxy S10 Plus (White) without offers,"39,499",3.6 out of 5 stars,
(Renewed) Samsung Galaxy S10 (Blue),"37,998",3.3 out of 5 stars,
"Samsung Galaxy S9 Plus (Lilac Purple, 6GB RAM, 64GB Storage)",,3.6 out of 5 stars,
"Samsung Galaxy S6 Edge (Gold Platinum, 32GB)",,3.5 out of 5 stars,
Samsung S9 64GB (Blue),"35,900",4.1 out of 5 stars,
(Renewed) Samsung Galaxy S10e (White),"35,399",3.0 out of 5 stars,
"(Renewed) Samsung Galaxy Note10 Lite (Aura Glow, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","34,850",,
Pirum Military Grade Covers and Cases for Samsung Galaxy M10 (Blue) Back Covers Mobile Cover Armor case,999,4.5 out of 5 stars,
"Oppo F15 (Unicorn White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","19,990",4.3 out of 5 stars,
"Dell Alienware m15 15.6-inch FHD Laptop (8th Gen Core i7 8750H/8GB/512GB SSD/Windows 10 + MS Office/Nvidia GE Force 6GB RTX 2060 Graphics), Silver","1,79,990",3.7 out of 5 stars,
"Dell XPS 9370 13.3-inch UHD Laptop, InfinityEdge Touch Display (8th Gen Intel Core i7-8550U/16GB RAM/512GB SSD,/Fingerprint Reader/Windows 10 Laptop)","1,69,900",4.1 out of 5 stars,
"DELL XPS 9570 15.6-inch FHD Laptop (8th Gen-Core i7-8750H/8GB/256 GB SSD/Windows 10/MS Office/Nvidia GeForce GTX 1050Ti 4GB Graphics), Silver","1,39,900",4.0 out of 5 stars,
"Dell XPS 13 7390 10th Generation Corei5-1021U 8GB RAM,512GB SSD,13.3"" Full HD Windows 10 Laptop","1,22,999",5.0 out of 5 stars,
Dell Inspiron 7373 Intel Core i7 8th Gen 13.3-inch FHD Touchscreen 2-in-1 Thin and Light Laptop (16GB/512GB SSD/Windows 10 Home/MS Office/Silver/1.63Kg),"98,300",3.2 out of 5 stars,
Dell Inspiron 7380 13.3-inch FHD Thin & Light Laptop (Core i7/16GB/512GB SSD/Win 10 + MS Office/Integrated Graphics),"93,000",4.0 out of 5 stars,
Dell XPS 9360 Intel Core i5 8th Gen 13.3-inch FHD Laptop (8GB/256GB SSD/Windows 10 Home/MS Office/1.5 kg),"84,000",3.7 out of 5 stars,
Dell Gaming-G3 3590 15.6-inch FHD Laptop (9th Gen Core i7-9750H/8GB/1TB HDD + 512GB SSD/Windows 10 + MS Office/4GB NVIDIA 1650 Graphics/Black),"90,990",3.4 out of 5 stars,
"DELL Inspiron 5570 15.6-inch Laptop (Core i5/8GB/2TB/Windows 10/ Pre-Installed Microsoft Office Home & Student 2016 / 4GB Graphics), Silver","70,000",3.1 out of 5 stars,
"DELL Inspiron 5593 15.6-inch Laptop (10th Gen Core i7-1065G7/8GB/1TB HDD + 512GB SSD/Windows 10 Home Plus/4GB NVIDIA MX230 GDDR5 Graphics), Platinum Silver","87,990",4.5 out of 5 stars,
"Dell Inspiron 15 5593 10th Generation Corei7-1065G7, 8GB RAM,1TB + 512GB SSD,4GB Graphics 15.6"" Windows 10 Laptop","87,660",3.0 out of 5 stars,
"Dell Inspiron 5570 15.6-inch FHD Laptop (8th Gen i7-8550U/8GB/2TB + 128 GB SSD/Windows 10 with Ms Office Home & Student 2016/4GB Graphics), Silver",,4.2 out of 5 stars,
"Dell G3 3579 15.6-inch FHD Gaming Laptop (8th Gen Core i7-8750H/8GB/1TB + 128GB SSD/Windows 10 + Ms Office/4GB Graphics), Black","82,800",3.8 out of 5 stars,
"Dell Inspiron 7560 15.6-inch FHD Laptop (Core i7/8GB/1TB+128GB SSD/Windows 10 with Ms Office Home & Student 2016/4GB Graphics), Gray","79,990",3.7 out of 5 stars,
Dell Inspiron 5584 15.6 Inch FHD Laptop (8th Gen Core i7-8565U/8GB/1TB HDD + 512GB SSD/Windows 10 + MS Office/4GB Nvidia Graphics/Silver),"77,990",3.1 out of 5 stars,
Dell Gaming-G3 3590 15.6-inch FHD Laptop (9th Gen Core i5-9300H/8GB/512GB SSD/Windows 10 + MS Office/3GB NVIDIA 1050 Graphics/White),"73,990",3.1 out of 5 stars,
"Dell Inspiron 7570 15.6-inch FHD Laptop (Core i5 - 8250 U/8GB/1TB HDD + 128GB SSD/Win 10 with Ms Office Home & Student 2016/Nvidia Geforce 940MX 4GB Graphics), Silver","73,599",3.3 out of 5 stars,
"DELL Inspiron 5491 14-inch Laptop (10th Gen Core i5-10210U/8GB/512GB SSD/Window 10 + Microsoft Office/Integrated Graphics), Silver","72,606",3.0 out of 5 stars,
Dell Inspiron 5370 13.3-inch FHD Laptop (Core i7- 8550 U/8GB/256GB/Windows 10 with Ms Office Home & Student 2016/2GB Graphics),"72,400",3.8 out of 5 stars,
Dell Inspiron 5570 15.6-inch FHD Laptop ( Core i5 8th gen - 8250U / 4GB 2400MHz DDR4 / 1TB HDD / Windows 10 / 2 GB DDR5 Radeon Graphics ) Platinum Silver,,3.0 out of 5 stars,
Dell Inspiron 7570 Intel Core i5 8th Gen 15.6-inch FHD Laptop (8GB/1TB HDD + 128GB SSD/ Windows 10 Home/MS Office/4GB Graphics/ Silver/2.5kg),"72,200",4.4 out of 5 stars,
"Dell Latitude 7290  core i5 7300  12.5"" HD  8GB  256GB SSD  1.19KG  12.5 Inc Display  Finger Print Sensor  3years Warranty","71,500",5.0 out of 5 stars,
Dell Inspiron 5370 13.3-inch FHD Laptop (Core i7-8550U/8GB/256GB/Windows 10 + MS Office/2GB Graphics/Silver),"70,070",5.0 out of 5 stars,
(Renewed) Dell E5430 14.1-inch Laptop (3rd Gen Core I5 3340M/4GB/500GB/Window 7 Pro 64 Bit/Integrated Graphics),"18,990",,
(Renewed) Dell E5430 14.1-inch Laptop (3rd Gen Core I5 3340M/4GB/500GB/Window 7 Pro 64 Bit/Integrated Graphics),"18,990",,
Dell Inspiron 5570 15.6-inch FHD Laptop(Core i5 8th gen - 8250U/8GB/2TB/Windows 10/2GB Radeon Graphics/Silver/3.2kg),"50,050",3.2 out of 5 stars,
"(Renewed) Dell Latitude E6540 15-inch Laptop (Core I7 Quad Core,6 MB cache/16GB/240GB SSD+1TB HDD/Windows 10/MS Office Pro 2019), Silver","49,999",3.7 out of 5 stars,
Dell Inspiron 15 3576 (core i5-8250U (8th gen)/8GB RAM/1T.B HDD/15.6 FHD/Windows 10 Home with Office Home and Student 2016) / 2GB Graphics (Black),"49,600",3.9 out of 5 stars,
Dell Inspiron 15 - 5567 15.6-inch--Intel Core i5-7th Generation || 8 GB DDR4 || 2 TB HDD || Windows 10 & Office 2016 || 2 GB AMD Radeon -- Blue Colour,"49,400",3.7 out of 5 stars,
Dell Latitude 5580/Ci3 7100/4GB/500 GB/Win 10 Pro/15.6 Full HD/Backpack,"49,000",5.0 out of 5 stars,
"Dell Inspiron 15 3583 15.6-inch Laptop (Core i5-8th Gen/8GB RAM/1TB HDD/Windows 10/2GB Graphics/MS Office/Backlit Keyboard) (Platinum Silver, 1.9Kg)","48,799",2.8 out of 5 stars,
Dell Inspiron 5570 Intel Core i5 8th Gen 15.6-inch FHD Laptop (8GB/2TB HDD/ Windows 10/MS Office/2GB Graphics/Black/2.5kg/Without DVD),"48,499",3.4 out of 5 stars,
"(Renewed) Dell E7250 Latitude 12.5 inch Touch Screen (5th Gen Intel Core i7 - 5600U /16 GB/256 GB SSD/Windows 10 Pro), Black",,3.0 out of 5 stars,
"DELL Inspiron 3593 15.6-inch Laptop (10th Gen Ci5-1035G1/4GB/512GB SSD/Windows 10/Intel HD Graphics), Platinum Silver","47,446",4.0 out of 5 stars,
"(Renewed) Dell E7250 Latitude 12.5 Inches Laptop (5th Gen Intel Core i7 - 5600U /16 GB/512 GB SSD/Windows 10 Pro), Black","47,100",3.0 out of 5 stars,
"Dell Inspiron 5000 (Core i5-8th Gen/4GB RAM/1TB HDD/15.6 Inch FHD/Windows 10/MS Office/2gb Graphics) Inspiron 5570 (Silver, 2.2 Kg)","46,990",4.0 out of 5 stars,
Dell Vostro 3580 Intel Core i5 8th Gen 15.6-inch FHD Laptop (8GB/1TB HDD+120 GB SSD/Windows 10 Home/MS Office/Black/1 Year ADP+NBD Warranty by Dell2.5 Kg),"46,975",3.1 out of 5 stars,
Dell Inspiron 3583 15.6-inch FHD Laptop (8th Gen Core i5-8265U/8GB/1TB/Window 10 + MS Office/2 GB AMD Graphics/Silver),"45,990",3.7 out of 5 stars,
"Dell Inspiron 3576 Core i5 8th Gen 8250U 2018 (4 GB RAM /1 TB HDD/Windows 10/MS Office/2 GB Graphics) Laptop, (15.6 inch, Black)","45,890",4.7 out of 5 stars,
"Dell Inspiron 5570 15.6-inch FHD Laptop (8th Gen i5-8250U/8GB/1TB/Windows 10 with Ms Office Home & Student 2016/Integrated Graphics), Silver","45,790",3.3 out of 5 stars,
"(Renewed) Dell Latitude E6540 15-inch Laptop (Core I7 Quad Core,6 MB cache/16GB/180GB SSD+750GB HDD/Windows 10/MS Office Pro 2019), Silver","44,999",3.8 out of 5 stars,
Dell Vostro 3580 Intel Core i5 8th Gen 15.6-inch FHD Laptop (8GB/1TB HDD/Windows 10 Home/MS Office/Black/1 Year ADP+NBD Warranty by Dell2.5 Kg),"44,500",4.0 out of 5 stars,
"(Renewed) DELL Latitude E7250 12.5-inch Touch Screen Laptop (5th Gen Intel Core i7/16GB/512GB SSD/Windows 10 Pro/Integrated Graphics), Black","44,000",3.3 out of 5 stars,
"(Renewed) Dell E7450 Latitude 14 Inches Laptop (5th Gen Intel Core i5 - 5300u /16 GB/512 GB SSD/Windows 10 Pro), Black","41,100",5.0 out of 5 stars,
"Dell Vostro 3580 15.6-inch Laptop (Intel Core i5 8th gen | 8 GB RAM | 1TB HDD | 15.6"" FHD Display | Ubuntu | Black | 1 Year onsite ADP Warranty)","39,450",5.0 out of 5 stars,
"DELL Inspiron 5593 15.6-inch Laptop (10th Gen Core i3-1005G1/4GB/512GB SSD/Windows 10 Home/Intel UHD Graphics), Platinum Silver","39,400",3.5 out of 5 stars,
"Dell Vostro 3568- Pentium Dual Core 4415U 7th gen (4GB/1TB HDD/ Windows 10SL/ Intel HD Graphics/15.6"") Black",,3.0 out of 5 stars,
"Dell Inspiron 15 Core i5 7th Gen 15-inch Laptop (4GB/1TB/Ubuntu Linux 16.04/2GB Graphics/Black/2.3kg), 3567","37,990",3.3 out of 5 stars,
Dell Inspiron 3576 15.6-inch Laptop (Core i3 7th Gen/4GB/1TB/Windows 10 + MS Office/2 GB AMD Graphics/Black),"36,429",3.5 out of 5 stars,
(Renewed) Dell E5430 14.1-inch Laptop (3rd Gen Core I5 3340M/4GB/500GB/Window 7 Pro 64 Bit/Integrated Graphics),"18,990",,
Dell Inspiron 3584 15.6-inch FHD Laptop--Intel Core i3 7th Gen || 8 GB || 1TB HDD+120 GB SSD || Windows 10 Home with MS Office 2016 || Silver || 1 Year Dell On SIte Warranty,"36,281",3.7 out of 5 stars,
"DELL Inspiron 11 3169 11.6-inch Laptop (core_m_6y30/4GB/500GB/Windows 10 Home/Integrated Graphics), Red","35,990",3.8 out of 5 stars,
"(Renewed) Dell 5575 FHD 15.6-inch Laptop (Ryzen 5 2500U/8GB/1TB/Windows 10 with Ms Office Home & Student 2016/Vega 8 Graphics), Silver","35,490",2.5 out of 5 stars,
Dell Vostro New Model 3581 15.6-inch HD Laptop--Intel Core i3 7th Gen || 8 GB || 1TB HDD + 120 GB SSD || Windows 10 Home with MS Office 2016 || Black || 1 Year Dell ADP+NBD Warranty,"33,999",4.5 out of 5 stars,
"Dell Inspiron 11 3168 11.6-inch Laptop (Pentium N3710/4GB/500GB/Windows 10 Home with Pre-Loaded MS Office 2016/Integrated Graphics), Red","33,400",3.2 out of 5 stars,
"(Renewed) Dell Latitude E5450 14-inch Laptop (Core I5 5th Gen/8GB/500 GB HDD/Windows 10/MS Office Pro 2019/Integrated Graphics), Black","32,999",3.9 out of 5 stars,
"(Renewed) Dell Latitude E6430-i5-16 GB-1 TB 14-inch Laptop (3rd Gen Core i5/16GB/1TB/Windows 7/Integrated Graphics), Greyish Silver","32,550",5.0 out of 5 stars,
"Dell Inspiron 62MFT 15.5-inch Laptop (6th Gen i3-6006U/4GB/1TB/Windows 10 Home/Integrated Graphics), Black","32,490",4.1 out of 5 stars,
Dell Inspiron 3584 15.6-inch FHD Laptop--Intel Core i3 7th Gen || 8 GB || 1TB HDD|| Windows 10 Home with MS Office 2019 || Silver || 1 Year Dell On SIte Warranty,"31,791",3.6 out of 5 stars,
